ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2007-03-27 23:16:51,9,8454,8464,8492,2023,558494,t,9874,10962,7143,818,56,8454
2007-03-27 23:16:51,24,3774,3787,3787,1477,341752,t,3849,4083,3946,360,54,3774
2007-03-27 23:16:51,70,0,0,0,0,0,f,1,87,0,11,15,0
2007-03-27 23:16:51,45,0,0,0,0,0,f,1,28,0,8,5,0
2007-03-27 23:16:51,27,149,168,202,0,0,f,927,1913,0,615,115,146
2007-03-27 23:16:51,48,11,15,24,0,0,f,132,230,0,18,0,11
2007-03-27 23:16:51,28,3766,3862,3970,1451,352112,t,5408,7030,3815,748,130,3748
2007-03-27 23:16:51,68,3,3,4,399,74445,t,89,228,118,94,20,3
2007-03-27 23:16:51,17,0,0,0,3,15,t,0,1,1,3,0,0
2007-03-27 23:16:51,36,727,763,870,0,0,f,2092,3535,0,472,86,726
2007-03-27 23:16:51,66,0,0,0,48,1133,t,11,35,13,30,3,0
2007-03-27 23:16:51,77,1,1,1,0,0,f,1,5,0,4,3,1
2007-03-27 23:16:51,38,8076,8212,8391,8515,1986806,t,10187,14172,10026,2185,34,8068
2007-03-27 23:16:51,30,8,8,10,370,30284,t,27,284,78,134,62,7
2007-03-27 23:16:51,4,0,0,0,0,0,f,0,1,0,1,0,0
2007-03-27 23:16:51,60,1,2,32,837,63654,t,122,1442,430,87,78,1
2007-03-27 23:16:51,73,0,0,0,132,5883,t,2,52,28,85,9,0
2007-03-27 23:16:51,40,13,13,14,699,44217,t,49,257,185,172,7,13
2007-03-27 23:16:51,6,0,0,0,3,39,t,0,1,1,3,0,0
2007-03-27 23:16:51,53,0,0,0,0,0,f,0,1,0,1,1,0
2007-03-27 23:16:51,19,0,0,0,18,267,t,0,6,6,12,1,0
2007-03-27 23:16:51,29,75,75,83,332,17852,t,165,543,171,179,54,75
2007-03-27 23:16:51,21,11,12,13,9,372,t,17,55,5,53,6,11
2007-03-27 23:16:51,2,19,19,20,306,10191,t,25,90,90,93,5,19
2007-03-27 23:16:51,72,90,116,146,843,157439,t,286,524,264,717,5,87
2007-03-27 23:16:51,51,98,98,100,795,63720,t,129,395,199,219,17,98
2007-03-27 23:16:51,41,2561,2588,2645,1209,134509,t,3157,7580,2575,1231,75,2559
2007-03-27 23:16:51,31,1,1,1,0,0,f,13,118,0,42,22,1
2007-03-27 23:16:51,65,0,0,0,3,6,t,0,1,1,3,0,0
2007-03-27 23:16:51,52,37,37,38,0,0,f,48,174,0,49,11,37
2007-03-27 23:16:51,76,30,32,36,1023,58173,t,60,151,151,322,5,30
2007-03-27 23:16:51,20,0,0,0,0,0,f,0,3,0,3,3,0
2007-03-27 23:16:51,44,30,34,48,0,0,f,95,524,0,164,42,30
2007-03-27 23:16:51,7,0,0,0,0,0,f,0,8,0,3,0,0
2007-08-07 22:39:26,34,33,35,42,545,38934,t,186,266,202,250,4,33
2007-08-07 22:39:26,43,2,2,2,222,19139,t,54,250,81,282,53,2
2007-08-07 22:39:26,25,0,0,0,3,6,t,0,1,1,3,0,0
2007-08-07 22:39:26,8,1,2,2,412,24839,t,14,76,73,84,13,1
2007-08-07 22:39:26,12,0,0,0,0,0,f,0,2,0,1,0,0
2007-08-07 22:39:26,1,3780,3780,3780,16,1511,t,3799,3805,8,18,3,3780
2007-08-07 22:39:26,26,46,48,64,462,23304,t,237,598,112,489,22,46
2007-08-07 22:39:26,42,0,1,1,0,0,f,3,6,0,9,0,0
2007-08-07 22:39:26,18,8893,8906,8938,42,1401,t,10883,12994,21,1030,128,8891
2007-08-07 22:39:26,59,15,16,18,58,3484,t,75,195,13,156,30,14
2007-08-07 22:39:26,78,9,14,22,343,5054,t,80,232,81,284,26,9
2007-08-07 22:39:26,39,13,13,13,0,0,f,76,172,0,27,33,13
2007-08-07 22:39:26,16,0,0,0,23,2313,t,9,115,7,30,22,0
2007-08-07 22:39:26,54,0,0,0,63,2223,t,4,10,9,63,0,0
2007-08-07 22:39:26,3,0,0,0,3,33,t,13,66,1,51,31,0
2007-08-07 22:39:26,61,0,0,0,0,0,f,0,2,0,2,2,0
2007-08-07 22:39:26,13,2,2,2,0,0,f,18,63,0,9,15,2
2007-08-07 22:39:26,49,0,0,0,0,0,f,1,68,0,33,28,0
2007-08-07 22:39:26,22,20,20,23,83,1862,t,58,284,31,104,23,20
2007-08-07 22:39:26,9,8366,8372,8398,101,11122,t,9755,10978,35,870,92,8366
2007-08-07 22:39:26,67,0,0,0,14,69,t,3,7,7,9,1,0
2007-08-07 22:39:26,24,3770,3775,3776,921,137535,t,5086,5595,1528,429,88,3770
2007-08-07 22:39:26,70,0,0,0,0,0,f,1,87,0,11,16,0
2007-08-07 22:39:26,45,0,0,0,0,0,f,1,28,0,8,5,0
2007-08-07 22:39:26,14,0,0,0,15,435,t,1,4,4,15,2,0
2007-08-07 22:39:26,27,147,164,194,6,216,t,543,1914,2,621,130,144
2007-08-07 22:39:26,48,11,15,24,0,0,f,132,230,0,18,0,11
2007-08-07 22:39:26,55,1,1,2,228,8079,t,15,51,51,120,4,1
2007-08-07 22:39:26,28,3714,3802,3922,210,16740,t,5058,7064,134,763,170,3699
2007-08-07 22:39:26,68,2,2,2,0,0,f,58,228,0,94,32,2
2007-08-07 22:39:26,17,0,0,0,0,0,f,0,1,0,3,0,0
2007-08-07 22:39:26,36,726,762,869,54,1380,t,1984,3549,16,511,105,725
2007-08-07 22:39:26,66,0,0,2,164,19949,t,33,139,110,63,37,0
2007-08-07 22:39:26,77,0,0,0,0,0,f,0,5,0,4,3,0
2007-08-07 22:39:26,38,8465,8814,9256,6099,1438218,t,12589,17240,5115,3408,29,8419
2007-08-07 22:39:26,30,71,87,93,1605,91473,t,140,461,212,410,84,63
2007-08-07 22:39:26,4,0,0,0,0,0,f,0,1,0,1,0,0
2007-08-07 22:39:26,60,3,3,4,4004,445643,t,959,3306,2087,291,84,3
2007-08-07 22:39:26,73,5111,5111,5111,2755,795673,t,5114,5166,5117,123,11,5111
2007-08-07 22:39:26,40,12,12,13,375,19491,t,39,308,72,283,15,12
2007-08-07 22:39:26,6,0,0,0,0,0,f,0,1,0,3,1,0
2007-08-07 22:39:26,53,0,0,0,0,0,f,0,1,0,1,1,0
2007-08-07 22:39:26,71,6,6,6,359,9413,t,10,106,106,156,15,6
2007-08-07 22:39:26,19,0,0,0,39,20157,t,0,15,9,39,6,0
2007-08-07 22:39:26,29,49,50,51,85,3042,t,123,578,45,204,67,49
2007-08-07 22:39:26,21,11,12,13,27,324,t,18,65,11,76,8,11
2007-08-07 22:39:26,2,0,0,0,197,13995,t,3,129,58,149,7,0
2007-08-07 22:39:26,72,141,188,226,1182,243586,t,464,769,343,877,6,135
2007-08-07 22:39:26,51,3,3,3,216,13872,t,33,415,48,291,33,3
2007-08-07 22:39:26,41,12575,12603,12654,3029,1009965,t,13166,19426,11976,1824,117,12575
2007-08-07 22:39:26,31,1,1,1,0,0,f,11,118,0,42,26,1
